Date,Open,High,Low,Close,Volume,Company,Ticker
2018-01-02,10.420000076293945,11.020000457763672,10.34000015258789,10.979999542236328,44146300,AMD,AMD
2018-01-02,47.07537514462522,48.33241979628715,46.656361419008704,48.31420135498047,9819500,APPLIED_MATERIALS,AMAT
2018-01-02,160.3795355957488,163.78716046277887,160.23217535047107,163.68585205078125,818600,ASML,ASML
2018-01-02,20.482478818789886,21.0919784243376,20.30901262175654,21.053342819213867,33135000,BROADCOM,AVGO
2018-01-02,52.188239770212455,53.32614856646089,52.188239770212455,53.188865661621094,31766000,GOOGLE,GOOGL
2018-01-02,38.935818612279554,39.37235684072965,38.793102651813875,39.330379486083984,23370800,INTEL,INTC
2018-01-02,9.326426445491283,9.403147142181773,9.252350681068915,9.359054565429688,16890000,KLA,KLAC
2018-01-02,16.491513179075977,16.880754120278212,16.377501943083672,16.859376907348633,20373000,LAM_RESEARCH,LRCX
2018-01-02,20.585652730944297,21.241428884145574,20.348052859338065,21.09886932373047,5619900,MARVELL,MRVL
2018-01-02,176.13326524181693,179.9993243104074,176.00440719436878,179.84071350097656,18151900,META,META
2018-01-02,40.507200391219854,42.6329997958527,40.165900137534706,42.5842399597168,37097000,MICRON,MU
2018-01-02,20.350000381469727,20.899999618530273,20.299999237060547,20.399999618530273,303900,MODINE_COOLING,MOD
2018-01-02,4.834375017324645,4.926232998453694,4.802768516998509,4.9225287437438965,355616000,NVIDIA,NVDA
2018-01-02,103.08580226238882,103.9492589484515,102.90958990461468,103.92282104492188,1784200,NXP,NXPI
2018-01-02,21.030000686645508,21.8799991607666,21.0,21.809999465942383,7027400,ON_SEMI,ON
2018-01-02,51.7611239735312,52.524921842687924,51.59228599419842,52.4203987121582,6329600,QUALCOMM,QCOM
2018-01-02,2.0899999141693115,2.1700000762939453,2.0850000381469727,2.1449999809265137,4344000,SUPER_MICRO_COOLING,SMCI
2018-01-02,33.255699753130465,33.69900039636074,33.18181631259208,33.674373626708984,4984000,TSMC,TSM
2018-01-03,11.609999656677246,12.140000343322754,11.359999656677246,11.550000190734863,154066700,AMD,AMD
2018-01-03,48.769641659498255,49.4437064713718,48.45082421620746,49.17043685913086,10898900,APPLIED_MATERIALS,AMAT
2018-01-03,163.68586985021832,165.3896894955324,163.6398180119305,164.92919921875,1054200,ASML,ASML
2018-01-03,21.07541884908238,21.346657622137236,20.97607015706938,21.283578872680664,31161000,BROADCOM,AVGO
2018-01-03,53.22454611875664,54.32330464034864,53.19976811908015,54.096317291259766,31318000,GOOGLE,GOOGL
2018-01-03,38.171894480934505,38.79311989579256,36.64401160340928,37.99559783935547,116479000,INTEL,INTC
2018-01-03,9.335246608455579,9.48692445736316,9.257643694713531,9.468405723571777,27341000,KLA,KLAC
2018-01-03,16.984078132610936,17.26376065397,16.889661964298945,17.14618682861328,25833000,LAM_RESEARCH,LRCX
